Requisitos;Import‰ncia;Risco;Relevancia;Tamanho;;;
Notificate by email;2;5;1,49;16;;OBS:;
Change password;3;3;5,00;10;;Tamanho em homens hora;
Register users;5;3;7,00;16;;Import‰ncia de 1 a 5;
Label tipping report;2;1;6,00;5;;Risco de 1 a 5;
cancel borrowing request;3;2;8,00;10;;;
Register book;4;2;9,99;18;;;
cancel borrowin;3;3;5,00;10;;;
Register publication;5;3;7,00;16;;;
Confirm borrowing;3;2;8,00;10;;;
Finish borrowing;3;4;4,00;7;;;
Log in;5;2;9,99;7;;;
Request borrowing;5;3;7,00;10;;;
Borrowing report;2;1;6,00;5;;;
;;;;;Avaliaç‹o emp’rica 1;Avaliaç‹o emp’rica 2;Avaliaç‹o emp’rica 3
;;;;;Alocar requisitos para um per’odo de tempo igual a 30% do tempo total necess‡rio para desenvolvimento de todos os requisitos.;Alocar requisitos para um per’odo de tempo igual a 50% do tempo total necess‡rio para desenvolvimento de todos os requisitos.;Alocar requisitos para um per’odo de tempo igual a 70% do tempo total necess‡rio para desenvolvimento de todos os requisitos.
;;;;;;;
;;;;;;;
;;;;;Para todos as avaliaç›es, dever‡ se realizar os seguintes passos:;;
;;;;;1 - Submeter cada requisito ao fuzzy e acrescentar ˆ tabela acima uma coluna com os valores de relev‰ncia calculados;;
;;;;;2 - Submeter ao ACO os valores de tamanho e relev‰ncia de cada requisito, de modo a se obter um subconjunto de requisitos que respeite a restriç‹o de tempo;;
;;;;;3 - Realizar 30 vezes o passo anterior em cada avaliaç‹o e apresentar a melhor soluç‹o, al_m da m_dia e do desvio padr‹o das melhores soluç›es.;;
